1702,नमो ड्रोन दीदी योजना क्या है?,What is the Namo Drone Didi scheme?,यह योजना कृषि उद्देश्यों के लिए महिला स्वयं सहायता समूहों (SHGs) को ड्रोन प्रदान करती है।,The scheme provides drones to Women Self Help Groups (SHGs) for agricultural purposes.,Agriculture,Medium,2023,https://www.india.gov.in/spotlight/details/namo-drone-didi,Namo Drone Didi,Central,Women SHGs
1703,पीएमएमएसवाई (PMMSY) योजना क्या है?,What is the PMMSY scheme?,पीएमएमएसवाई भारत में मत्स्य पालन क्षेत्र के सतत और जिम्मेदार विकास के लिए एक योजना है।,PMMSY is a scheme for the sustainable and responsible development of the fisheries sector in India.,Agriculture,Medium,2020,https://pmmsy.dof.gov.in,PMMSY,Central,Fishers
1704,एमआईडीएच (MIDH) योजना क्या है?,What is the MIDH scheme?,"एमआईडीएच फलों, सब्जियों और अन्य बागवानी फसलों सहित बागवानी क्षेत्र के समग्र विकास के लिए एक मिशन है।","MIDH is a mission for the holistic development of the horticulture sector, including fruits, vegetables, and other crops.",Agriculture,Medium,2014,https://midh.gov.in,MIDH,Central,Farmers
1705,डिजिटल कृषि मिशन क्या है?,What is the Digital Agriculture Mission?,"यह कृषि में डिजिटल तकनीकों जैसे एआई, ब्लॉकचेन और ड्रोन के उपयोग को बढ़ावा देने की एक पहल है।","It is an initiative to promote the use of digital technologies like AI, blockchain, and drones in agriculture.",Agriculture,Hard,2021,https://www.pib.gov.in/PressReleaseIframePage.aspx?PRID=2051719,Digital Agriculture Mission,Central,Farmers
1706,कृषक बंधु योजना क्या है?,What is the Krishak Bandhu Scheme?,यह पश्चिम बंगाल सरकार की एक योजना है जो किसानों को वित्तीय सहायता और जीवन बीमा प्रदान करती है।,It is a scheme by the West Bengal government that provides financial assistance and life insurance to farmers.,Agriculture,Easy,2019,https://krishakbandhu.net,Krishak Bandhu Scheme,State,Farmers
1707,एमआईएसएस (MISS) योजना क्या है?,What is the MISS scheme?,यह योजना किसानों को कृषि और संबद्ध गतिविधियों के लिए रियायती अल्पकालिक ऋण प्रदान करती है।,The scheme provides concessional short-term loans to farmers for agriculture and allied activities.,Agriculture,Medium,2006,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2131989,MISS,Central,Farmers
1708,एनएमईओ-तिलहन (NMEO-Oilseeds) मिशन क्या है?,What is the NMEO-Oilseeds mission?,यह खाद्य तेलों के उत्पादन को बढ़ाने और आयात पर निर्भरता कम करने के लिए एक राष्ट्रीय मिशन है।,It is a national mission to increase the production of edible oils and reduce dependence on imports.,Agriculture,Medium,2021,https://nmeo.dac.gov.in/,NMEO-Oilseeds,Central,Farmers
1709,किसान ड्रोन योजना क्या है?,What is the Kisan Drone Yojana?,यह योजना कीटनाशकों और पोषक तत्वों के छिड़काव के लिए कृषि में ड्रोन के उपयोग को बढ़ावा देती है।,The scheme promotes the use of drones in agriculture for spraying pesticides and nutrients.,Agriculture,Medium,2022,https://bankofindia.bank.in/hi/farm-mechanization-loans/kisan-drone-scheme-akashdoot,Kisan Drone Yojana,Central,Farmers
1710,राष्ट्रीय बांस मिशन क्या है?,What is the National Bamboo Mission?,यह मिशन बांस क्षेत्र के विकास और बांस उत्पादकों की आय बढ़ाने पर केंद्रित है।,The mission focuses on the development of the bamboo sector and increasing the income of bamboo growers.,Agriculture,Medium,2006,https://nbm.da.gov.in/,National Bamboo Mission,Central,Farmers
1711,आरकेवीवाई (RKVY) योजना क्या है?,What is the RKVY scheme?,आरकेवीवाई कृषि और संबद्ध क्षेत्रों के समग्र विकास को सुनिश्चित करने के लिए एक राज्य योजना योजना है।,RKVY is a state plan scheme to ensure holistic development of agriculture and allied sectors.,Agriculture,Hard,2007,https://rkvy.nic.in,RKVY,Central,Farmers
1712,मिष्टी (MISHTI) योजना क्या है?,What is the MISHTI Scheme?,यह योजना तटीय आवासों और मूर्त आय के लिए मैंग्रोव पहल पर केंद्रित है।,The scheme focuses on the Mangrove Initiative for Shoreline Habitats and Tangible Incomes.,Agriculture,Medium,2023,https://moef.gov.in,MISHTI Scheme,Central,Coastal communities
