question,question_english,answer,answer_english,category,difficulty_level,launched_year,official_website,scheme_name,state_or_central,target_beneficiary
तेलंगाना राज्य सरकार कर्मचारी और पत्रकार स्वास्थ्य योजना क्या है?,What is the Telangana State Government Employees and Journalists Health Scheme?,यह तेलंगाना के सरकारी कर्मचारियों और पत्रकारों के लिए एक स्वास्थ्य योजना है।,It is a health scheme for government employees and journalists in Telangana.,Health,Easy,2014,https://telangana.gov.in/,Telangana State Government Employees and Journalists Health Scheme,State,Government employees and journalists
डॉ वाईएसआर आरोग्यश्री स्वास्थ्य योजना किस राज्य की है?,Which state does the Dr YSR Aarogyasri Health Scheme belong to?,यह योजना आंध्र प्रदेश के निवासियों के लिए है।,This scheme is for the residents of Andhra Pradesh.,Health,Easy,2007,https://www.ysraarogyasri.ap.gov.in/,Dr YSR Aarogyasri Health Scheme,State,AP residents
आवाज़ स्वास्थ्य बीमा योजना के लाभार्थी कौन हैं?,Who are the beneficiaries of the Awaz Health Insurance Scheme?,यह योजना केरल में प्रवासी श्रमिकों के लिए है।,This scheme is for migrant workers in Kerala.,Health,Easy,2017,http://awaz.lc.kerala.gov.in/,Awaz Health Insurance Scheme,State,Migrant workers
भामाशाह स्वास्थ्य बीमा योजना किस राज्य से संबंधित है?,Which state is the Bhamashah Swasthya Bima Yojana related to?,यह योजना राजस्थान के निवासियों के लिए है।,This scheme is for the residents of Rajasthan.,Health,Easy,2015,https://health.rajasthan.gov.in/,Bhamashah Swasthya Bima Yojana,State,Rajasthan residents
राष्ट्रीय स्वास्थ्य बीमा योजना (RSBY) क्या है?,What is the Rashtriya Swasthya Bima Yojana (RSBY)?,यह बीपीएल परिवारों के लिए एक राष्ट्रीय स्वास्थ्य बीमा योजना है।,It is a national health insurance scheme for BPL households.,Health,Easy,2008,https://www.rsby.gov.in/,Rashtriya Swasthya Bima Yojana (RSBY),Central,BPL households
जननी सुरक्षा योजना (JSY) का उद्देश्य क्या है?,What is the objective of Janani Suraksha Yojana (JSY)?,इसका उद्देश्य गरीब गर्भवती महिलाओं के बीच संस्थागत प्रसव को बढ़ावा देना है।,Its objective is to promote institutional delivery among poor pregnant women.,Health,Easy,2005,https://nhm.gov.in/index1.php?lang=1&level=3&sublinkid=841&lid=309,Janani Suraksha Yojana (JSY),Central,Pregnant women
राष्ट्रीय आरोग्य निधि (RAN) क्या है?,What is the Rashtriya Arogya Nidhi (RAN)?,यह योजना गरीबी रेखा से नीचे रहने वाले मरीजों को गंभीर बीमारियों के इलाज के लिए वित्तीय सहायता प्रदान करती है।,This scheme provides financial assistance to patients living below the poverty line for the treatment of major life-threatening diseases.,Health,Easy,1997,https://main.mohfw.gov.in/major-programmes/poor-patients-financial-support,Rashtriya Arogya Nidhi (RAN),Central,BPL patients with major diseases
निक्षय पोषण योजना (NPY) किसके लिए है?,Who is the Nikshay Poshan Yojana (NPY) for?,यह योजना तपेदिक (टीबी) के मरीजों को पोषण संबंधी सहायता प्रदान करने के लिए है।,This scheme is to provide nutritional support to Tuberculosis (TB) patients.,Health,Easy,2018,https://nikshay.in/,Nikshay Poshan Yojana (NPY),Central,TB patients
प्रधानमंत्री सुरक्षित मातृत्व अभियान (PMSMA) क्या है?,What is the Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA)?,यह योजना गर्भवती महिलाओं को मुफ्त प्रसवपूर्व देखभाल प्रदान करती है।,This scheme provides free antenatal care to pregnant women.,Health,Easy,2016,https://pmsma.mohfw.gov.in/,Pradhan Mantri Surakshit Matritva Abhiyan (PMSMA),Central,Pregnant women
मिशन इंद्रधनुष (MI) का मुख्य लक्ष्य क्या है?,What is the main goal of Mission Indradhanush (MI)?,इसका लक्ष्य उन सभी बच्चों और गर्भवती महिलाओं का टीकाकरण करना है जो नियमित टीकाकरण से छूट गए हैं।,Its goal is to immunize all children and pregnant women who have missed routine immunization.,Health,Easy,2014,https://nhm.gov.in/,Mission Indradhanush (MI),Central,Children and pregnant women
